Date,Home Team,Away Team,Result,Overtime,Season,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
2019-10-29,Los Angeles Lakers,Memphis Grizzlies,120 - 91,,2019-2020,10:30,120,91,0.6666666666666666,0.3333333333333333,0.6333091128450218,0.3670674181168549,7.644125858972253,53.13453199789386,-45.49040613892161,-12.241340061974713,48.43507114120726,-60.67641120318197,412.1440891738048,258.03926271966475,0.6260899270372584,336.4493603014251,347.3259441029619,1.0323275508438847,0.03547031680745859,0.018359427271510853,0.035035280610456125,0.017643233508970912,0.029097004014974007,0.031095730652237398
2019-10-30,Cleveland Cavaliers,Chicago Bulls,117 - 111,,2019-2020,07:00,117,111,0.3333333333333333,0.25,0.3315829895965146,0.2805663478328393,-8.39048928576282,47.506160955711024,-55.89665024147384,-12.38715692102941,47.5726767853403,-59.95983370636971,364.69463855929337,436.7330514870863,1.1975307704340727,351.2067449099467,323.64747769753814,0.9215297894706577,0.015999999999999907,0.017000801924619068,0.017333333333333364,0.014845244942016653,0.030699129834359722,0.03251067190466666
2019-10-30,Orlando Magic,New York Knicks,95 - 83,,2019-2020,07:00,95,83,0.3333333333333333,0.25,0.3967294535290356,0.3506052085384027,-1.4616299395516066,43.897736947432016,-45.35936688698362,-8.896035017623817,42.75041827207644,-51.646453289700254,391.3837993562308,239.83780757984465,0.6127944180989168,362.74100154862543,494.3751383540414,1.362887394155718,0.01813333333333322,0.01673349371825719,0.016933333333333352,0.015281771731972994,0.028961630361891814,0.035234954115350374
2019-10-30,Philadelphia 76ers,Minnesota Timberwolves,117 - 95,,2019-2020,07:00,117,95,1.0,1.0,0.8339203038109846,0.8048679151889195,7.700366008870399,55.015417018106774,-47.31505100923638,8.936017325477264,58.694955203998916,-49.75893787852165,433.1482540945251,306.4238507377795,0.7074341125496242,420.2718354587907,349.0322716529424,0.8304917013340201,0.11238952579524246,0.11721610713712899,0.09949309053514536,0.12363071439433317,0.031176017606538507,0.031026067571266688
2019-10-30,Boston Celtics,Milwaukee Bucks,116 - 105,,2019-2020,07:30,116,105,0.6666666666666666,0.6666666666666666,0.6539334225206166,0.6153707290384993,6.296822811363859,58.00685628802938,-51.71003347666552,6.8304497168611995,69.27886466847723,-62.44841495161603,412.29539978918416,307.90190825070005,0.7467992813117419,417.26903520812334,384.07280777739373,0.9204440669455087,0.031184128307939075,0.029485333333333103,0.03674400758827614,0.029945356391712943,0.030464963241730557,0.03343950752864537
2019-10-30,Brooklyn Nets,Indiana Pacers,108 - 118,,2019-2020,07:30,108,118,0.3333333333333333,0.0,0.4002314291695283,0.1458147654150382,-3.4762504705841226,69.44029942932114,-72.91654989990526,-15.540287634598057,41.133447659669244,-56.6737352942673,385.2118986522833,336.5429005039653,0.8736565554735116,341.2852616777208,210.761428003218,0.6175520940082146,0.016680032076984822,0.013333333333333367,0.014352118115464794,0.013333333333333346,0.031394874537309096,0.02934647003046259
2019-10-30,Toronto Raptors,Detroit Pistons,125 - 113,,2019-2020,07:30,125,113,0.75,0.5,0.5851416002536953,0.4487454187393382,5.0861374428449935,55.1040642798202,-50.01792683697521,-8.115186809015677,53.73631658074355,-61.85150338975922,415.6602134564554,515.9456759562277,1.2412678896203237,368.43601835095467,587.9425486857541,1.595779238189758,0.024173493718257073,0.018666666666666783,0.029254436262810976,0.017333333333333364,0.036316528387425724,0.037036783646171564
2019-10-30,Oklahoma City Thunder,Portland Trail Blazers,99 - 102,,2019-2020,08:00,99,102,0.25,0.5,0.3206577178494735,0.5483125921094407,3.2556552613341925,51.151992340789704,-47.89633707945551,-0.2835519632233949,56.733923578936654,-57.01747554216005,410.7828965265111,550.0318039577043,1.338984189966649,395.21048406233456,455.9447645574402,1.1536757827647262,0.01793333333333338,0.0422220243024972,0.019183956957691498,0.046178559917392774,0.03475291308243556,0.03517309069134099
2019-10-30,Washington Wizards,Houston Rockets,158 - 159,,2019-2020,08:00,158,159,0.3333333333333333,0.6666666666666666,0.4455824578893137,0.523129764905531,4.126920510110402,50.279928662725666,-46.153008152615264,1.3275395995975057,57.36691305274272,-56.03937345314521,409.99072271629126,307.22193761266254,0.7493387547338638,399.22662137333054,292.2123172991619,0.7319459716738281,0.01692000000000006,0.01891999999999993,0.019910690004541966,0.016353371763966063,0.02983334750186858,0.031146894336678988
2019-10-30,Sacramento Kings,Charlotte Hornets,111 - 118,,2019-2020,10:00,111,118,0.0,0.25,0.22600928935999753,0.4019672560846182,-13.090078791377021,47.4138579174097,-60.503936708786725,-9.269996389732997,53.501205798415725,-62.77120218814872,348.57950529598577,386.895075849328,1.1099191718710133,359.93680284623105,450.65543175474926,1.2520404365187248,0.013333333333333372,0.016733493718257105,0.013333333333333421,0.013611681675996077,0.03219654347788638,0.03435523959567086
2019-10-30,Utah Jazz,Los Angeles Clippers,110 - 96,,2019-2020,10:00,110,96,0.75,0.75,0.6241377035127947,0.6552038084568529,10.538444454925491,47.45145140492994,-36.91300695000445,9.936980360178788,64.53705878468429,-54.600078424505504,440.32205402185383,372.5516311393988,0.8460889654209973,433.64060712657044,541.7123628333354,1.2492196393296284,0.031595312068039394,0.04486284482244115,0.032172596148002726,0.04402410311466805,0.032497702622819244,0.036646368261379736
2019-10-30,Golden State Warriors,Phoenix Suns,110 - 121,,2019-2020,10:30,110,121,0.3333333333333333,0.5,0.33109638078920167,0.5269937488381993,-9.97028351929663,58.316358561779566,-68.2866420810762,11.554027673303416,64.67162146840106,-53.11759379509764,366.1390105351849,257.0832533582783,0.7021465781056764,439.42988055628774,441.36789738654113,1.0044102982432601,0.015333333333333369,0.04225104022679803,0.016367816091954025,0.04272215417649321,0.029933600122621168,0.03514493937570559
2019-10-31,Atlanta Hawks,Miami Heat,97 - 106,,2019-2020,07:00,97,106,0.5,0.75,0.5944707319735473,0.6983318978554929,7.112800782983328,55.00410210732497,-47.89130132434164,8.10306277129258,63.19096622007927,-55.08790344878669,510.04773221110014,465.64759513504833,0.9129490550157464,511.8331588359626,475.8711401317181,0.9297387867835074,0.02375125613051764,0.03324606456744409,0.022673937532054274,0.03413797455293089,0.032459979981815226,0.0337875970820228
2019-10-31,New Orleans Pelicans,Denver Nuggets,122 - 107,,2019-2020,09:30,122,107,0.0,0.75,0.18769916402029496,0.6599586342442639,-6.601974311426468,59.38441246343381,-65.98638677486028,1.972561014445104,49.14403982583214,-47.17147881138703,455.60629709336547,499.87183951049565,1.0971574420712167,487.04714923572004,387.2063199239144,0.7950078766121986,0.013333333333333334,0.03709033335908753,0.013333333333333272,0.04204051667603038,0.033230319552990176,0.030212591149724365
