Date,Home Team,Away Team,Result,Overtime,Season
01/12/2015 08:00,Minnesota Timberwolves,Orlando Magic,93 - 96,,2015-2016
01/12/2015 08:00,New Orleans Pelicans,Memphis Grizzlies,104 - 113,,2015-2016
01/12/2015 10:00,Portland Trail Blazers,Dallas Mavericks,112 - 115,OT,2015-2016
02/12/2015 07:00,Charlotte Hornets,Golden State Warriors,99 - 116,,2015-2016
02/12/2015 07:00,Washington Wizards,Los Angeles Lakers,104 - 108,,2015-2016
02/12/2015 07:30,Detroit Pistons,Phoenix Suns,127 - 122,OT,2015-2016
02/12/2015 07:30,New York Knicks,Philadelphia 76ers,99 - 87,,2015-2016
02/12/2015 08:00,Atlanta Hawks,Toronto Raptors,86 - 96,,2015-2016
02/12/2015 08:00,Chicago Bulls,Denver Nuggets,99 - 90,,2015-2016
02/12/2015 08:00,Houston Rockets,New Orleans Pelicans,108 - 101,,2015-2016
02/12/2015 08:30,San Antonio Spurs,Milwaukee Bucks,95 - 70,,2015-2016
02/12/2015 10:30,Los Angeles Clippers,Indiana Pacers,91 - 103,,2015-2016
03/12/2015 07:00,Miami Heat,Oklahoma City Thunder,97 - 95,,2015-2016
03/12/2015 07:30,Toronto Raptors,Denver Nuggets,105 - 106,,2015-2016
03/12/2015 09:00,Utah Jazz,Orlando Magic,94 - 103,,2015-2016
03/12/2015 09:30,Memphis Grizzlies,San Antonio Spurs,83 - 103,,2015-2016
03/12/2015 10:00,Portland Trail Blazers,Indiana Pacers,123 - 111,,2015-2016
03/12/2015 10:00,Sacramento Kings,Boston Celtics,97 - 114,,2015-2016
04/12/2015 07:00,New York Knicks,Brooklyn Nets,108 - 91,,2015-2016
04/12/2015 07:00,Washington Wizards,Phoenix Suns,109 - 106,,2015-2016
04/12/2015 07:30,Detroit Pistons,Milwaukee Bucks,102 - 95,,2015-2016
04/12/2015 08:00,Atlanta Hawks,Los Angeles Lakers,100 - 87,,2015-2016
04/12/2015 08:30,Dallas Mavericks,Houston Rockets,96 - 100,,2015-2016
04/12/2015 09:30,New Orleans Pelicans,Cleveland Cavaliers,114 - 108,OT,2015-2016
05/12/2015 01:00,Philadelphia 76ers,Denver Nuggets,105 - 108,,2015-2016
05/12/2015 05:00,Toronto Raptors,Golden State Warriors,109 - 112,,2015-2016
05/12/2015 08:00,Chicago Bulls,Charlotte Hornets,96 - 102,,2015-2016
05/12/2015 08:00,Houston Rockets,Sacramento Kings,120 - 113,,2015-2016
05/12/2015 08:00,Miami Heat,Cleveland Cavaliers,99 - 84,,2015-2016
05/12/2015 08:00,Minnesota Timberwolves,Portland Trail Blazers,103 - 109,,2015-2016
05/12/2015 08:30,Milwaukee Bucks,New York Knicks,106 - 91,,2015-2016
05/12/2015 08:30,San Antonio Spurs,Boston Celtics,108 - 105,,2015-2016
05/12/2015 09:00,Utah Jazz,Indiana Pacers,122 - 119,OT,2015-2016
05/12/2015 10:30,Los Angeles Clippers,Orlando Magic,103 - 101,,2015-2016
06/12/2015 03:30,Memphis Grizzlies,Phoenix Suns,95 - 93,,2015-2016
06/12/2015 06:00,Brooklyn Nets,Golden State Warriors,98 - 114,,2015-2016
