Date,Home Team,Away Team,Result,Overtime,Season
29/11/2005 08:30,Chicago Bulls,Orlando Magic,85 - 76,,2005-2006
29/11/2005 08:30,Houston Rockets,Atlanta Hawks,100 - 85,,2005-2006
29/11/2005 08:30,San Antonio Spurs,Los Angeles Lakers,90 - 84,,2005-2006
29/11/2005 09:00,Utah Jazz,Indiana Pacers,60 - 84,,2005-2006
29/11/2005 10:00,Sacramento Kings,Charlotte Bobcats,110 - 92,,2005-2006
30/11/2005 07:00,Atlanta Hawks,Miami Heat,74 - 96,,2005-2006
30/11/2005 07:00,Cleveland Cavaliers,Los Angeles Clippers,112 - 105,OT,2005-2006
30/11/2005 07:00,Toronto Raptors,Memphis Grizzlies,66 - 92,,2005-2006
30/11/2005 07:00,Washington Wizards,Portland Trail Blazers,96 - 89,,2005-2006
30/11/2005 07:30,Boston Celtics,Philadelphia 76ers,110 - 103,,2005-2006
30/11/2005 07:30,New Jersey Nets,Detroit Pistons,83 - 93,,2005-2006
30/11/2005 07:30,New York Knicks,Chicago Bulls,109 - 101,,2005-2006
30/11/2005 09:00,Denver Nuggets,New Orleans/Oklahoma City Hornets,95 - 102,,2005-2006
30/11/2005 09:00,Phoenix Suns,Indiana Pacers,109 - 91,,2005-2006
30/11/2005 10:00,Seattle SuperSonics,Charlotte Bobcats,104 - 94,,2005-2006
30/11/2005 10:30,Golden State Warriors,Sacramento Kings,113 - 106,,2005-2006
01/12/2005 08:00,Dallas Mavericks,San Antonio Spurs,90 - 92,,2005-2006
01/12/2005 10:30,Utah Jazz,Los Angeles Lakers,101 - 105,OT,2005-2006
02/12/2005 07:00,Atlanta Hawks,Toronto Raptors,101 - 102,,2005-2006
02/12/2005 07:00,Washington Wizards,Milwaukee Bucks,102 - 105,,2005-2006
02/12/2005 07:30,Boston Celtics,Chicago Bulls,102 - 106,,2005-2006
02/12/2005 08:00,Detroit Pistons,New York Knicks,106 - 98,,2005-2006
02/12/2005 08:00,Memphis Grizzlies,Orlando Magic,91 - 69,,2005-2006
02/12/2005 08:00,New Orleans/Oklahoma City Hornets,Philadelphia 76ers,88 - 86,,2005-2006
02/12/2005 09:00,Phoenix Suns,Denver Nuggets,102 - 97,,2005-2006
02/12/2005 10:00,Portland Trail Blazers,Indiana Pacers,78 - 98,,2005-2006
02/12/2005 10:00,Sacramento Kings,Miami Heat,87 - 98,,2005-2006
02/12/2005 10:30,Golden State Warriors,Charlotte Bobcats,107 - 100,,2005-2006
02/12/2005 10:30,Los Angeles Lakers,Minnesota Timberwolves,108 - 113,,2005-2006
02/12/2005 10:30,Seattle SuperSonics,Cleveland Cavaliers,115 - 108,,2005-2006
03/12/2005 08:00,New Jersey Nets,Toronto Raptors,82 - 95,,2005-2006
03/12/2005 08:30,Chicago Bulls,Detroit Pistons,79 - 92,,2005-2006
03/12/2005 08:30,Dallas Mavericks,New Orleans/Oklahoma City Hornets,97 - 88,,2005-2006
03/12/2005 08:30,Houston Rockets,Memphis Grizzlies,75 - 90,,2005-2006
03/12/2005 08:30,Milwaukee Bucks,Orlando Magic,104 - 84,,2005-2006
03/12/2005 08:30,San Antonio Spurs,Philadelphia 76ers,100 - 91,,2005-2006
03/12/2005 09:00,Denver Nuggets,Miami Heat,101 - 99,,2005-2006
03/12/2005 10:30,Los Angeles Clippers,Cleveland Cavaliers,102 - 90,,2005-2006
04/12/2005 01:00,New York Knicks,Boston Celtics,99 - 102,,2005-2006
04/12/2005 08:00,Phoenix Suns,Atlanta Hawks,112 - 94,,2005-2006
04/12/2005 08:00,Seattle SuperSonics,Indiana Pacers,107 - 102,,2005-2006
04/12/2005 09:00,Portland Trail Blazers,Utah Jazz,93 - 98,,2005-2006
04/12/2005 09:00,Sacramento Kings,Minnesota Timberwolves,77 - 85,,2005-2006
04/12/2005 09:30,Los Angeles Lakers,Charlotte Bobcats,99 - 98,,2005-2006
05/12/2005 07:00,Orlando Magic,San Antonio Spurs,85 - 110,,2005-2006
05/12/2005 08:30,Chicago Bulls,Dallas Mavericks,94 - 102,,2005-2006
05/12/2005 09:00,Utah Jazz,Minnesota Timberwolves,77 - 91,,2005-2006
05/12/2005 10:30,Los Angeles Clippers,Miami Heat,99 - 89,,2005-2006
06/12/2005 07:00,Indiana Pacers,Dallas Mavericks,75 - 84,,2005-2006
